node1,node2
L1X2665Y1043,L1X2715Y1070
L1X2445Y1245,L1X2445Y1043
L1X1980Y0844,L1X1845Y0844
L1X1845Y0844,L1X1845Y0924
L1X2310Y1043,L1X2445Y1043
L1X1732Y0924,L1X1732Y1019
L1X2445Y1043,L1X2490Y1043
L1X2445Y1284,L1X2445Y1245
L1X2445Y1284,L1X2320Y1284
L1X2770Y1070,L1X2770Y1160
L1X1750Y1284,L1X1820Y1284
L1X2130Y1284,L1X2130Y1045
L1X2130Y1045,L1X2215Y1045
L1X2215Y1045,L1X2310Y1043
L1X2215Y1045,L1X2220Y0974
L1X2220Y0904,L1X2265Y0904
L1X2220Y0904,L1X2185Y0904
L1X2265Y0904,L1X2300Y0879
L1X2360Y0849,L1X2360Y0799
L1X2130Y0904,L1X2130Y0844
L1X2130Y0844,L1X1980Y0844
L1X1845Y0924,L1X1785Y0924
L1X2300Y0849,L1X2255Y0849
L1X2300Y0849,L1X2360Y0849
L1X1965Y1284,L1X2065Y1284
L1X1750Y1090,L1X1750Y1284
L1X1750Y1090,L1X1732Y1019
L1X2290Y1284,L1X2130Y1284
L1X2320Y1284,L1X2290Y1284
L1X2770Y1284,L1X2445Y1284
L1X2065Y1284,L1X2130Y1284
L1X2300Y0879,L1X2300Y0849
L1X2770Y1160,L1X2770Y1284
L1X2185Y0904,L1X2130Y0904
L1X2490Y1043,L1X2665Y1043
L1X2715Y1070,L1X2770Y1070
L1X2220Y0974,L1X2220Y0904
L1X1785Y0924,L1X1732Y0924
L1X1820Y1284,L1X1965Y1284
L1X1702Y2260,L1X1702Y2167
L1X1702Y2167,L1X1688Y2167
L1X1688Y2167,L1X1666Y2167
L1X1688Y2167,L1X1688Y2131
L1X1688Y2131,L1X1720Y2131
L1X1688Y2131,L1X1665Y2116
L1X1665Y2116,L1X1637Y2116
