nodeID,longName,moveDate,
L1X2255Y0849,Anesthesia Conf Floor L1,01/01/2023,
L1X2665Y1043,Medical Records Conference Room Floor L1,01/01/2023,
L1X2445Y1245,Abrams Conference Room,01/01/2023,
L1X1980Y0844,Day Surgery Family Waiting Floor L1,01/01/2023,
L1X1845Y0844,Day Surgery Family Waiting Exit Floor L1,01/01/2023,
L1X2310Y1043,Medical Records Film Library Floor L1,01/01/2023,
L1X1732Y0924,Hallway 1 Floor L1,01/01/2023,
L1X2445Y1043,Hallway 2 Floor L1,01/01/2023,
L1X2445Y1284,Hallway 3 Floor L1,01/01/2023,
L1X2770Y1070,Hallway 4 Floor L1,01/01/2023,
L1X1750Y1284,Hallway 5 Floor L1,01/01/2023,
L1X2130Y1284,Hallway 6 Floor L1,01/01/2023,
L1X2130Y1045,Hallway 7 Floor L1,01/01/2023,
L1X2215Y1045,Hallway 8 Floor L1,01/01/2023,
L1X2220Y0904,Hallway 9 Floor L1,01/01/2023,
L1X2265Y0904,Hallway 10 Floor L1,01/01/2023,
L1X2360Y0849,Hallway 11 Floor L1,01/01/2023,
L1X2130Y0904,Hallway 12 Floor L1,01/01/2023,
L1X2130Y0844,Hallway 13 Floor L1,01/01/2023,
L1X1845Y0924,Hallway 14 Floor L1,01/01/2023,
L1X2300Y0849,Hallway 15 Floor L1,01/01/2023,
L1X1965Y1284,Outpatient Fluoroscopy Floor L1,01/01/2023,
L1X1750Y1090,Pre-Op PACU Floor L1,01/01/2023,
L1X2290Y1284,Nuclear Medicine Floor L1,01/01/2023,
L1X2320Y1284,Ultrasound Floor L1,01/01/2023,
L1X2770Y1284,CSIR MRI Floor L1,01/01/2023,
L1X1732Y1019,Restroom L Elevator Floor L1,01/01/2023,
L1X2065Y1284,Restroom M Elevator Floor L1,01/01/2023,
L1X2300Y0879,Restroom K Elevator Floor L1,01/01/2023,
L1X2770Y1160,Restroom H Elevator Floor L1,01/01/2023,
L1X2185Y0904,Vending Machine 1 L1,01/01/2023,
L1X2490Y1043,Volunteers Floor L1,01/01/2023,
L2X2015Y1280,Interpreter Services Floor L2,01/01/2023,
L1X1637Y2116,Elevator Q MapNode 7 Floor L1,01/01/2023,
L1X1702Y2260,Fenwood Road Exit MapNode 1 Floor L1,01/01/2023,
L1X1702Y2167,Hallway MapNode 2 Floor L1,01/01/2023,
L1X1688Y2167,Hallway MapNode 3 Floor L1,01/01/2023,
L1X1666Y2167,Hallway MapNode 4 Floor L1,01/01/2023,
L1X1688Y2131,Hallway MapNode 5 Floor L1,01/01/2023,
L1X1665Y2116,Hallway MapNode 6 Floor L1,01/01/2023,
L1X1720Y2131,Stairs MapNode 8 Floor L1,01/01/2023,
L1X2715Y1070,Elevator H Floor L1,01/01/2023,
L1X2360Y0799,Elevator J Floor L1,01/01/2023,
L1X2220Y0974,Elevator K Floor L1,01/01/2023,
L1X1785Y0924,Elevator L Floor L1,01/01/2023,
L1X1820Y1284,Elevator M Floor L1,01/01/2023,
